feature	isolate	nearest_gene	nearest_te	scaffold
atg9154	MNH120	89	739	scaffold_911
atg9155	MNH120	1933	3710	scaffold_911
atg9156	MNH120	1933	767	scaffold_911
atg9157	MNH120	1079	1	scaffold_911
atg9158	MNH120	333	42	scaffold_911
atg9159	MNH120	333	37	scaffold_911
atg9160	MNH120	432	390	scaffold_911
atg9161	MNH120	432	132	scaffold_911
atg9162	MNH120	734	1121	scaffold_911
atg9163	MNH120	734	3322	scaffold_911
atg9164	MNH120	784	1255	scaffold_911
atg9165	MNH120	434	471	scaffold_911
atg9166	MNH120	434	1723	scaffold_911
atg9167	MNH120	84	5690	scaffold_911
atg9168	MNH120	84	6179	scaffold_911
atg9169	MNH120	163	4113	scaffold_911
atg9170	MNH120	800	1575	scaffold_911
atg9171	MNH120	5098	7	scaffold_911
atg12773	MNH120	35566	46	scaffold_998
atg12774	MNH120	418	216	scaffold_998
atg12775	MNH120	418	1316	scaffold_998
atg12776	MNH120	669	469	scaffold_998
atg12777	MNH120	699	872	scaffold_998
atg12778	MNH120	699	1571	scaffold_998
atg12779	MNH120	864	4186	scaffold_998
atg12780	MNH120	864	5723	scaffold_998
atg12781	MNH120	888	7012	scaffold_998
atg12782	MNH120	514	3067	scaffold_998
atg12783	MNH120	514	1106	scaffold_998
atg12784	MNH120	4271	800	scaffold_998
atg12785	MNH120	1778	800	scaffold_998
atg12786	MNH120	1778	4392	scaffold_998
atg12787	MNH120	773	6845	scaffold_998
atg12788	MNH120	773	4219	scaffold_998
atg12789	MNH120	2878	552	scaffold_998
atg12790	MNH120	1988	1076	scaffold_998
atg12791	MNH120	760	717	scaffold_998
atg12792	MNH120	760	554	scaffold_998
atg12793	MNH120	519	782	scaffold_998
atg12794	MNH120	519	2120	scaffold_998
atg12795	MNH120	385	272	scaffold_998
atg12796	MNH120	104	18	scaffold_998
atg12797	MNH120	53	22	scaffold_998
atg12798	MNH120	53	382	scaffold_998
atg12799	MNH120	862	1897	scaffold_998
atg12800	MNH120	1477	6734	scaffold_998
atg12801	MNH120	487	6042	scaffold_998
atg12802	MNH120	30	3865	scaffold_998
atg12803	MNH120	30	1776	scaffold_998
atg12804	MNH120	456	268	scaffold_998
atg12805	MNH120	1269	725	scaffold_998
atg12806	MNH120	779	3245	scaffold_998
atg12807	MNH120	779	6775	scaffold_998
atg12808	MNH120	68	10290	scaffold_998
atg12809	MNH120	68	10969	scaffold_998
atg12810	MNH120	839	14393	scaffold_998
atg12811	MNH120	248	13185	scaffold_998
atg12812	MNH120	148	12009	scaffold_998
atg12813	MNH120	148	11485	scaffold_998
atg12814	MNH120	715	9431	scaffold_998
atg12815	MNH120	454	6946	scaffold_998
atg12816	MNH120	249	3862	scaffold_998
atg12817	MNH120	156	3031	scaffold_998
atg12818	MNH120	156	1882	scaffold_998
atg12819	MNH120	3238	458	scaffold_998
atg12820	MNH120	869	1900	scaffold_998
atg12821	MNH120	391	1758	scaffold_998
atg12822	MNH120	391	255	scaffold_998
atg12823	MNH120	537	61	scaffold_998
atg12824	MNH120	537	2052	scaffold_998
atg12825	MNH120	510	606	scaffold_998
atg12826	MNH120	510	39	scaffold_998
atg12827	MNH120	635	560	scaffold_998
atg12828	MNH120	635	6	scaffold_998
atg12829	MNH120	528	179	scaffold_998
atg12830	MNH120	528	1441	scaffold_998
atg12831	MNH120	5542	3052	scaffold_998
atg12832	MNH120	2258	1083	scaffold_998
atg12833	MNH120	499	439	scaffold_998
atg12834	MNH120	499	547	scaffold_998
atg12835	MNH120	1239	826	scaffold_998
atg12836	MNH120	763	347	scaffold_998
atg12837	MNH120	425	2774	scaffold_998
atg12838	MNH120	425	7280	scaffold_998
atg12839	MNH120	202	10142	scaffold_998
atg12840	MNH120	50	9785	scaffold_998
atg12841	MNH120	50	8913	scaffold_998
atg12842	MNH120	206	7812	scaffold_998
atg12843	MNH120	465	4711	scaffold_998
atg12844	MNH120	465	2761	scaffold_998
atg12845	MNH120	1505	671	scaffold_998
atg12846	MNH120	141	6	scaffold_998
atg12847	MNH120	141	176	scaffold_998
atg12848	MNH120	383	105	scaffold_998
atg12849	MNH120	383	60	scaffold_998
atg12850	MNH120	569	57	scaffold_998
atg12851	MNH120	569	105	scaffold_998
atg12852	MNH120	586	849	scaffold_998
atg12853	MNH120	586	4025	scaffold_998
atg12854	MNH120	599	5687	scaffold_998
atg12855	MNH120	850	2896	scaffold_998
atg12856	MNH120	850	1368	scaffold_998
atg12857	MNH120	1184	132	scaffold_998
atg12858	MNH120	1184	2060	scaffold_998
atg12859	MNH120	1735	168	scaffold_998
atg12860	MNH120	86	103	scaffold_998
atg12861	MNH120	60	1787	scaffold_998
atg12862	MNH120	60	469	scaffold_998
atg12863	MNH120	982	471	scaffold_998
atg12864	MNH120	982	340	scaffold_998
atg12865	MNH120	1461	532	scaffold_998
atg12866	MNH120	113	34	scaffold_998
atg12867	MNH120	113	49	scaffold_998
atg12868	MNH120	617	895	scaffold_998
atg12869	MNH120	722	1842	scaffold_998
atg12870	MNH120	632	1087	scaffold_998
atg12871	MNH120	632	32	scaffold_998
atg12872	MNH120	1006	22	scaffold_998
atg12873	MNH120	314	266	scaffold_998
atg12874	MNH120	314	7198	scaffold_998
atg12875	MNH120	338	5562	scaffold_998
atg12876	MNH120	1028	3919	scaffold_998
atg12877	MNH120	1750	610	scaffold_998
atg12878	MNH120	1139	5393	scaffold_998
atg12879	MNH120	866	8837	scaffold_998
atg12880	MNH120	866	3298	scaffold_998
atg12881	MNH120	2419	226	scaffold_998
atg12882	MNH120	2419	6237	scaffold_998
atg12883	MNH120	596	5121	scaffold_998
atg12884	MNH120	596	3115	scaffold_998
atg12885	MNH120	962	1284	scaffold_998
atg12886	MNH120	509	15	scaffold_998
atg12887	MNH120	395	552	scaffold_998
atg12888	MNH120	395	3040	scaffold_998
atg12889	MNH120	457	4160	scaffold_998
atg12890	MNH120	457	5625	scaffold_998
atg12891	MNH120	105	8227	scaffold_998
atg12892	MNH120	105	4837	scaffold_998
atg12893	MNH120	162	1796	scaffold_998
atg12894	MNH120	51	1212	scaffold_998
atg12895	MNH120	51	792	scaffold_998
atg12896	MNH120	6568	260	scaffold_998
atg12897	MNH120	815	460	scaffold_998
atg12898	MNH120	815	3102	scaffold_998
atg12899	MNH120	610	5111	scaffold_998
atg12900	MNH120	610	2269	scaffold_998
atg12901	MNH120	750	1150	scaffold_998
atg12902	MNH120	255	65	scaffold_998
atg12903	MNH120	47	3468	scaffold_998
atg12904	MNH120	47	4257	scaffold_998
atg12905	MNH120	799	5886	scaffold_998
atg12906	MNH120	127	8440	scaffold_998
atg12907	MNH120	127	8034	scaffold_998
atg12908	MNH120	200	2475	scaffold_998
atg12909	MNH120	200	232	scaffold_998
atg12910	MNH120	1416	599	scaffold_998
atg12911	MNH120	1416	3046	scaffold_998
atg12912	MNH120	3287	922	scaffold_998
atg12913	MNH120	3287	2355	scaffold_998
atg12914	MNH120	1107	4943	scaffold_998
atg12915	MNH120	307	2076	scaffold_998
atg12916	MNH120	307	1345	scaffold_998
atg12917	MNH120	786	2778	scaffold_998
atg12918	MNH120	525	6939	scaffold_998
atg12919	MNH120	390	8892	scaffold_998
atg12920	MNH120	390	9963	scaffold_998
atg12921	MNH120	744	11067	scaffold_998
atg12922	MNH120	1503	14403	scaffold_998
atg12923	MNH120	1160	17431	scaffold_998
atg12924	MNH120	1160	19591	scaffold_998
atg12925	MNH120	462	22437	scaffold_998
atg12926	MNH120	462	21846	scaffold_998
atg12927	MNH120	770	19141	scaffold_998
atg12928	MNH120	512	17187	scaffold_998
atg12929	MNH120	512	13135	scaffold_998
atg12930	MNH120	710	10959	scaffold_998
atg12931	MNH120	710	9587	scaffold_998
atg12932	MNH120	193	6122	scaffold_998
atg12933	MNH120	47	5572	scaffold_998
atg12934	MNH120	47	4487	scaffold_998
atg12935	MNH120	2884	975	scaffold_998
atg12936	MNH120	928	7	scaffold_998
atg12937	MNH120	928	32	scaffold_998
atg12938	MNH120	1365	1725	scaffold_998
atg12939	MNH120	1365	4834	scaffold_998
atg12940	MNH120	1425	2205	scaffold_998
atg12941	MNH120	1425	416	scaffold_998
atg12942	MNH120	1740	1112	scaffold_998
atg12943	MNH120	711	3590	scaffold_998
atg12944	MNH120	711	1670	scaffold_998
atg12945	MNH120	1198	221	scaffold_998
atg12946	MNH120	91	201	scaffold_998
atg12947	MNH120	91	2	scaffold_998
atg12948	MNH120	667	5	scaffold_998
atg12949	MNH120	433	15	scaffold_998
atg12950	MNH120	433	1	scaffold_998
atg12951	MNH120	287	1	scaffold_998
atg12952	MNH120	287	13	scaffold_998
atg12953	MNH120	270	141	scaffold_998
atg12954	MNH120	270	14	scaffold_998
atg12955	MNH120	604	102	scaffold_998
atg12956	MNH120	273	6	scaffold_998
atg12957	MNH120	273	15	scaffold_998
atg12958	MNH120	322	28	scaffold_998
atg12959	MNH120	864	60	scaffold_998
atg12960	MNH120	940	225	scaffold_998
atg12961	MNH120	940	77	scaffold_998
atg12962	MNH120	1007	11	scaffold_998
atg12963	MNH120	1119	102	scaffold_998
atg12964	MNH120	1133	50	scaffold_998
atg12965	MNH120	58	88	scaffold_998
atg12966	MNH120	58	147	scaffold_998
atg12967	MNH120	974	2	scaffold_998
atg12968	MNH120	75	44	scaffold_998
atg12969	MNH120	75	18	scaffold_998
atg12970	MNH120	968	44	scaffold_998
atg12971	MNH120	968	126	scaffold_998
atg12972	MNH120	1062	11	scaffold_998
atg12973	MNH120	128	59	scaffold_998
atg12974	MNH120	128	3	scaffold_998
atg12975	MNH120	1706	5	scaffold_998
atg12976	MNH120	1706	5	scaffold_998
atg12977	MNH120	1240	93	scaffold_998
atg12978	MNH120	448	43	scaffold_998
atg12979	MNH120	448	36	scaffold_998
atg12980	MNH120	162	19	scaffold_998
atg12981	MNH120	162	14	scaffold_998
atg12982	MNH120	807	51	scaffold_998
atg12983	MNH120	172	24	scaffold_998
atg12984	MNH120	172	8	scaffold_998
atg12985	MNH120	515	74	scaffold_998
atg12986	MNH120	515	25	scaffold_998
atg12987	MNH120	607	177	scaffold_998
atg12988	MNH120	607	11	scaffold_998
atg12989	MNH120	212	22	scaffold_998
atg12990	MNH120	212	57	scaffold_998
atg12991	MNH120	502	26	scaffold_998
atg12992	MNH120	45	138	scaffold_998
atg12993	MNH120	45	4	scaffold_998
atg12994	MNH120	73	40	scaffold_998
atg12995	MNH120	972	6	scaffold_998
atg758	MNH120	243	1	scaffold_94
atg759	MNH120	243	6	scaffold_94
atg760	MNH120	1516	18	scaffold_94
atg761	MNH120	2568	24	scaffold_94
atg762	MNH120	2568	70	scaffold_94
atg763	MNH120	265	1	scaffold_94
atg764	MNH120	265	33	scaffold_94
atg765	MNH120	1196	26	scaffold_94
atg766	MNH120	945	34	scaffold_94
atg767	MNH120	405	21	scaffold_94
atg768	MNH120	104	3	scaffold_94
atg769	MNH120	103	22	scaffold_94
atg770	MNH120	103	13	scaffold_94
atg425	MNH120	1143	495	scaffold_88
atg426	MNH120	77	2540	scaffold_88
atg427	MNH120	77	4609	scaffold_88
atg428	MNH120	159	12537	scaffold_88
atg429	MNH120	159	13361	scaffold_88
atg430	MNH120	345	13826	scaffold_88
atg431	MNH120	157	11825	scaffold_88
atg432	MNH120	157	8836	scaffold_88
atg433	MNH120	22	7385	scaffold_88
atg434	MNH120	22	7022	scaffold_88
atg435	MNH120	267	6006	scaffold_88
atg436	MNH120	903	2108	scaffold_88
atg10034	MNH120	535	29	scaffold_951
atg10035	MNH120	535	3149	scaffold_951
atg10036	MNH120	680	4614	scaffold_951
atg10037	MNH120	337	7052	scaffold_951
atg10038	MNH120	70	3486	scaffold_951
atg10039	MNH120	70	2912	scaffold_951
atg10040	MNH120	90	1880	scaffold_951
atg10041	MNH120	279	62	scaffold_951
atg10042	MNH120	1712	2738	scaffold_951
atg10043	MNH120	851	5002	scaffold_951
atg10044	MNH120	372	6774	scaffold_951
atg10045	MNH120	372	7881	scaffold_951
atg10046	MNH120	41	9180	scaffold_951
atg10047	MNH120	41	10344	scaffold_951
atg10048	MNH120	927	7023	scaffold_951
atg10049	MNH120	927	2839	scaffold_951
atg10050	MNH120	3020	84	scaffold_951
atg10051	MNH120	2484	1623	scaffold_951
atg10052	MNH120	2484	662	scaffold_951
atg10053	MNH120	435	5296	scaffold_951
atg10054	MNH120	435	9140	scaffold_951
atg10055	MNH120	445	11943	scaffold_951
atg10056	MNH120	457	12978	scaffold_951
atg10057	MNH120	1179	15047	scaffold_951
atg10058	MNH120	903	16995	scaffold_951
atg10059	MNH120	903	14077	scaffold_951
atg10060	MNH120	624	11466	scaffold_951
atg10061	MNH120	624	9467	scaffold_951
atg10062	MNH120	413	6245	scaffold_951
atg10063	MNH120	208	4842	scaffold_951
atg10064	MNH120	208	3959	scaffold_951
atg10065	MNH120	2205	956	scaffold_951
atg10066	MNH120	835	726	scaffold_951
atg10067	MNH120	458	2715	scaffold_951
atg10068	MNH120	339	5782	scaffold_951
atg10069	MNH120	339	5299	scaffold_951
atg10070	MNH120	125	2853	scaffold_951
atg10071	MNH120	125	1518	scaffold_951
atg10072	MNH120	745	34	scaffold_951
atg10073	MNH120	273	2183	scaffold_951
atg10074	MNH120	50	3048	scaffold_951
atg10075	MNH120	50	3395	scaffold_951
atg10076	MNH120	1059	689	scaffold_951
atg10077	MNH120	1804	388	scaffold_951
atg10078	MNH120	695	2975	scaffold_951
atg10079	MNH120	574	7475	scaffold_951
atg10080	MNH120	574	11183	scaffold_951
atg10081	MNH120	492	11009	scaffold_951
atg10082	MNH120	492	9393	scaffold_951
atg10083	MNH120	27	7978	scaffold_951
atg10084	MNH120	27	7034	scaffold_951
atg10085	MNH120	602	5666	scaffold_951
atg10086	MNH120	151	2030	scaffold_951
atg10087	MNH120	151	751	scaffold_951
atg10088	MNH120	3933	1020	scaffold_951
atg10089	MNH120	18	29	scaffold_951
atg10090	MNH120	18	47	scaffold_951
atg10091	MNH120	462	2179	scaffold_951
atg10092	MNH120	462	4765	scaffold_951
atg10093	MNH120	996	6378	scaffold_951
atg10094	MNH120	996	7766	scaffold_951
atg10095	MNH120	768	9776	scaffold_951
atg10096	MNH120	768	12235	scaffold_951
atg10097	MNH120	148	16590	scaffold_951
atg10098	MNH120	148	18245	scaffold_951
atg10099	MNH120	480	15107	scaffold_951
atg10100	MNH120	480	13604	scaffold_951
atg10101	MNH120	708	11840	scaffold_951
atg10102	MNH120	392	9517	scaffold_951
atg10103	MNH120	392	8130	scaffold_951
atg10104	MNH120	94	4066	scaffold_951
atg10105	MNH120	94	3537	scaffold_951
atg10106	MNH120	1137	127	scaffold_951
atg10107	MNH120	816	61	scaffold_951
atg10108	MNH120	393	847	scaffold_951
atg10109	MNH120	196	454	scaffold_951
atg10110	MNH120	196	591	scaffold_951
atg10111	MNH120	1603	97	scaffold_951
atg10112	MNH120	509	115	scaffold_951
atg10113	MNH120	197	183	scaffold_951
atg10114	MNH120	87	1867	scaffold_951
atg10115	MNH120	87	1901	scaffold_951
atg10116	MNH120	570	391	scaffold_951
atg10117	MNH120	67	851	scaffold_951
atg10118	MNH120	67	2767	scaffold_951
atg10119	MNH120	113	3237	scaffold_951
atg10120	MNH120	507	2972	scaffold_951
atg10121	MNH120	507	531	scaffold_951
atg10122	MNH120	1428	1	scaffold_951
atg10123	MNH120	287	1441	scaffold_951
atg10124	MNH120	287	3284	scaffold_951
atg10125	MNH120	430	1985	scaffold_951
atg10126	MNH120	430	431	scaffold_951
atg10127	MNH120	3431	376	scaffold_951
atg10128	MNH120	1676	6477	scaffold_951
atg10129	MNH120	214	6699	scaffold_951
atg10130	MNH120	214	5591	scaffold_951
atg10131	MNH120	429	3091	scaffold_951
atg10132	MNH120	926	798	scaffold_951
atg10133	MNH120	212	398	scaffold_951
atg10134	MNH120	212	294	scaffold_951
atg10135	MNH120	304	539	scaffold_951
atg10136	MNH120	283	1764	scaffold_951
atg10137	MNH120	283	4134	scaffold_951
atg10138	MNH120	92	7535	scaffold_951
atg10139	MNH120	92	9153	scaffold_951
atg10140	MNH120	65	8657	scaffold_951
atg10141	MNH120	65	4799	scaffold_951
atg10142	MNH120	1767	2269	scaffold_951
atg10143	MNH120	786	785	scaffold_951
atg10144	MNH120	786	2152	scaffold_951
atg10145	MNH120	641	1348	scaffold_951
atg10146	MNH120	641	362	scaffold_951
atg10147	MNH120	1147	419	scaffold_951
atg10148	MNH120	1341	3565	scaffold_951
atg10149	MNH120	798	3527	scaffold_951
atg10150	MNH120	798	2102	scaffold_951
atg2346	MNH120	1959	69	scaffold_344
atg2347	MNH120	509	277	scaffold_344
atg2348	MNH120	236	2114	scaffold_344
atg2349	MNH120	236	2980	scaffold_344
atg2350	MNH120	992	4995	scaffold_344
atg2351	MNH120	1288	2648	scaffold_344
atg2352	MNH120	1337	681	scaffold_344
atg2353	MNH120	701	2018	scaffold_344
atg2354	MNH120	335	4838	scaffold_344
atg2355	MNH120	335	5643	scaffold_344
atg2356	MNH120	251	6910	scaffold_344
atg2357	MNH120	251	5657	scaffold_344
atg2358	MNH120	355	1394	scaffold_344
atg2359	MNH120	355	313	scaffold_344
atg2360	MNH120	664	50	scaffold_344
atg2361	MNH120	1385	234	scaffold_344
atg2362	MNH120	599	383	scaffold_344
atg2363	MNH120	599	98	scaffold_344
atg2364	MNH120	1009	138	scaffold_344
atg2365	MNH120	789	2484	scaffold_344
atg2366	MNH120	381	4763	scaffold_344
atg2367	MNH120	381	8349	scaffold_344
atg2368	MNH120	515	11571	scaffold_344
atg2369	MNH120	560	10955	scaffold_344
atg2370	MNH120	560	7893	scaffold_344
atg2371	MNH120	648	6407	scaffold_344
atg2372	MNH120	648	4611	scaffold_344
atg2373	MNH120	1180	851	scaffold_344
atg2374	MNH120	391	210	scaffold_344
atg2375	MNH120	391	404	scaffold_344
atg2376	MNH120	1196	1011	scaffold_344
atg2377	MNH120	89	4125	scaffold_344
atg2378	MNH120	48	5502	scaffold_344
atg2379	MNH120	48	6238	scaffold_344
atg2380	MNH120	188	8068	scaffold_344
atg2381	MNH120	188	9046	scaffold_344
atg2382	MNH120	1236	10645	scaffold_344
atg2383	MNH120	439	8707	scaffold_344
atg2384	MNH120	439	6617	scaffold_344
atg2385	MNH120	102	2005	scaffold_344
atg2386	MNH120	102	400	scaffold_344
atg2387	MNH120	409	89	scaffold_344
atg2388	MNH120	360	720	scaffold_344
atg2389	MNH120	360	3406	scaffold_344
atg2390	MNH120	683	5120	scaffold_344
atg2391	MNH120	683	7805	scaffold_344
atg2392	MNH120	191	7735	scaffold_344
atg2393	MNH120	191	5195	scaffold_344
atg2394	MNH120	588	3008	scaffold_344
atg2395	MNH120	588	1583	scaffold_344
atg2396	MNH120	625	1052	scaffold_344
atg2397	MNH120	625	364	scaffold_344
atg2398	MNH120	1053	1982	scaffold_344
atg2399	MNH120	297	4271	scaffold_344
atg2400	MNH120	297	6598	scaffold_344
atg2401	MNH120	1026	8575	scaffold_344
atg2402	MNH120	1026	6457	scaffold_344
atg2403	MNH120	1243	3837	scaffold_344
atg2404	MNH120	738	675	scaffold_344
atg2405	MNH120	738	47	scaffold_344
atg2406	MNH120	1123	372	scaffold_344
atg2407	MNH120	947	865	scaffold_344
atg2408	MNH120	895	2656	scaffold_344
atg2409	MNH120	396	5148	scaffold_344
atg2410	MNH120	396	2389	scaffold_344
atg2411	MNH120	821	385	scaffold_344
atg5793	MNH120	144	835	scaffold_722
atg5794	MNH120	144	3163	scaffold_722
atg5795	MNH120	763	7215	scaffold_722
atg5796	MNH120	466	8455	scaffold_722
atg5797	MNH120	350	9920	scaffold_722
atg5798	MNH120	350	773	scaffold_722
atg5799	MNH120	829	837	scaffold_722
atg5800	MNH120	829	286	scaffold_722
atg5801	MNH120	1010	1272	scaffold_722
atg5802	MNH120	1010	1011	scaffold_722
atg5803	MNH120	1355	85	scaffold_722
atg5804	MNH120	813	607	scaffold_722
atg5805	MNH120	813	2421	scaffold_722
atg5806	MNH120	935	3729	scaffold_722
atg5807	MNH120	647	7859	scaffold_722
atg5808	MNH120	562	6682	scaffold_722
atg5809	MNH120	562	4088	scaffold_722
atg5810	MNH120	1100	590	scaffold_722
atg5811	MNH120	1036	2207	scaffold_722
atg5812	MNH120	747	4462	scaffold_722
atg5813	MNH120	347	6819	scaffold_722
atg5814	MNH120	347	5448	scaffold_722
atg5815	MNH120	156	1864	scaffold_722
atg5816	MNH120	156	1492	scaffold_722
atg5817	MNH120	188	104	scaffold_722
atg5818	MNH120	5337	31	scaffold_722
atg5819	MNH120	3889	2002	scaffold_722
atg5820	MNH120	612	8053	scaffold_722
atg5821	MNH120	173	10129	scaffold_722
atg5822	MNH120	173	12805	scaffold_722
atg5823	MNH120	674	9259	scaffold_722
atg5824	MNH120	674	7279	scaffold_722
atg5825	MNH120	1186	4435	scaffold_722
atg5826	MNH120	895	277	scaffold_722
atg5827	MNH120	561	434	scaffold_722
atg5828	MNH120	561	2352	scaffold_722
atg5829	MNH120	614	4463	scaffold_722
atg5830	MNH120	347	6513	scaffold_722
atg5831	MNH120	347	7584	scaffold_722
atg5832	MNH120	393	12362	scaffold_722
atg5833	MNH120	88	12578	scaffold_722
atg5834	MNH120	26	11599	scaffold_722
atg5835	MNH120	26	11273	scaffold_722
atg5836	MNH120	76	10621	scaffold_722
atg5837	MNH120	530	6079	scaffold_722
atg5838	MNH120	530	3715	scaffold_722
atg5839	MNH120	431	1702	scaffold_722
atg5840	MNH120	431	201	scaffold_722
atg5841	MNH120	532	252	scaffold_722
atg5842	MNH120	248	1713	scaffold_722
atg5843	MNH120	248	2311	scaffold_722
atg5844	MNH120	651	755	scaffold_722
atg5845	MNH120	275	104	scaffold_722
atg5846	MNH120	275	3729	scaffold_722
atg5847	MNH120	157	5007	scaffold_722
atg5848	MNH120	157	4218	scaffold_722
atg5849	MNH120	1271	960	scaffold_722
atg5850	MNH120	1149	1605	scaffold_722
atg5851	MNH120	1028	299	scaffold_722
atg5852	MNH120	550	146	scaffold_722
atg5853	MNH120	550	431	scaffold_722
atg5854	MNH120	709	442	scaffold_722
atg5855	MNH120	173	1157	scaffold_722
atg5856	MNH120	173	639	scaffold_722
atg5857	MNH120	2566	543	scaffold_722
atg5858	MNH120	594	3385	scaffold_722
atg5859	MNH120	594	5868	scaffold_722
atg5860	MNH120	1366	950	scaffold_722
atg5861	MNH120	1366	44	scaffold_722
atg5862	MNH120	290	2658	scaffold_722
atg5863	MNH120	290	3281	scaffold_722
atg5864	MNH120	88	57	scaffold_722
atg5865	MNH120	88	1398	scaffold_722
atg5866	MNH120	2210	5397	scaffold_722
atg5867	MNH120	5375	13363	scaffold_722
