isolate	length	scaffold
I19A	127344	NODE_29062_length_127439_cov_13.227160
I19A	228414	NODE_26637_length_229204_cov_12.838428
I19A	243191	NODE_27612_length_243338_cov_13.235586
I19A	122358	NODE_57792_length_122521_cov_13.027130
I19A	53491	NODE_40234_length_53311_cov_13.006396
I19A	92780	NODE_14771_length_92666_cov_13.488075
I19A	124467	NODE_5907_length_124661_cov_12.492993
I19A	107080	NODE_5996_length_107547_cov_12.650766
I19A	189919	NODE_25512_length_190055_cov_12.932251
I19A	247261	NODE_15332_length_247300_cov_13.613583
I19A	28095	NODE_43821_length_28212_cov_11.397491
I19A	754884	NODE_54820_length_755582_cov_13.526051
I19A	157208	NODE_5827_length_157587_cov_12.921510
I19A	60729	NODE_41529_length_60770_cov_12.605348
I19A	44673	NODE_11218_length_44572_cov_13.223032
I19A	350792	NODE_48319_length_351389_cov_13.548745
I19A	10555	NODE_3771_length_10451_cov_14.141805
I19A	604471	NODE_8391_length_604862_cov_13.258735
I19A	354177	NODE_18897_length_354320_cov_13.469530
I19A	52287	NODE_66958_length_52272_cov_13.423496
I19A	404174	NODE_18912_length_405416_cov_13.667336
I19A	94217	NODE_25064_length_94289_cov_13.299717
I19A	423794	NODE_54363_length_424217_cov_13.204084
I19A	96264	NODE_4902_length_96281_cov_13.126432
I19A	67438	NODE_20838_length_67045_cov_14.353494
I19A	80241	NODE_26168_length_80399_cov_13.073508
I19A	130617	NODE_15653_length_130761_cov_13.649926
I19A	303651	NODE_42751_length_303737_cov_13.635438
I19A	96777	NODE_24893_length_96804_cov_12.677575
I19A	328855	NODE_64552_length_329366_cov_12.979339
I19A	273552	NODE_27977_length_273676_cov_13.286349
I19A	64479	NODE_27317_length_64464_cov_14.021454
I19A	239320	NODE_23254_length_239311_cov_13.710482
I19A	87348	NODE_15402_length_87243_cov_13.035143
I19A	105210	NODE_15606_length_105419_cov_13.461795
I19A	187431	NODE_43483_length_187816_cov_13.372087
I19A	142496	NODE_43605_length_143080_cov_12.702446
I19A	698338	NODE_27652_length_699352_cov_13.438048
I19A	123308	NODE_46242_length_123433_cov_13.637455
I19A	72650	NODE_28491_length_72707_cov_14.007138
I19A	45903	NODE_39152_length_45903_cov_15.152996
I19A	107043	NODE_52590_length_107341_cov_13.380963
I19A	81399	NODE_2340_length_81420_cov_13.230459
I19A	342630	NODE_43245_length_343303_cov_13.451531
I19A	364734	NODE_40552_length_365252_cov_13.313279
I19A	462923	NODE_33419_length_463445_cov_13.624229
I19A	22365	NODE_19575_length_22290_cov_13.876088
I19A	225512	NODE_27472_length_225534_cov_14.175899
I19A	44140	NODE_60948_length_44244_cov_12.705294
I19A	241840	NODE_66412_length_242231_cov_12.992119
I19A	99898	NODE_61130_length_99972_cov_13.513803
I19A	261048	NODE_42405_length_261529_cov_13.653106
I19A	435556	NODE_33956_length_436139_cov_13.527682
I19A	68351	NODE_27581_length_68196_cov_13.921623
I19A	294108	NODE_22616_length_294082_cov_13.195062
I19A	237015	NODE_40373_length_237135_cov_14.078744
I19A	285537	NODE_43983_length_286255_cov_11.585835
I19A	598211	NODE_67271_length_598976_cov_13.335084
I19A	38123	NODE_22426_length_38019_cov_13.068887
I19A	223889	NODE_21755_length_224196_cov_13.275737
I19A	161270	NODE_12782_length_161563_cov_13.528345
I19A	45692	NODE_42850_length_45677_cov_12.913063
I19A	10158	NODE_26765_length_10118_cov_12.866080
I19A	413329	NODE_53419_length_413562_cov_13.291586
I19A	215005	NODE_24686_length_215037_cov_13.600515
I19A	295604	NODE_60886_length_296584_cov_13.230714
I19A	236498	NODE_48360_length_236681_cov_13.471301
I19A	73625	NODE_37951_length_73387_cov_13.201085
I19A	152031	NODE_24733_length_151978_cov_13.260419
I19A	29649	NODE_24530_length_29535_cov_12.942069
I19A	10575	NODE_9316_length_10547_cov_13.909074
I19A	204350	NODE_34017_length_204933_cov_12.963622
I19A	240443	NODE_31331_length_241661_cov_13.632998
I19A	234491	NODE_43715_length_235047_cov_13.164316
I19A	533613	NODE_48669_length_534468_cov_13.834743
I19A	327038	NODE_43534_length_327214_cov_13.301250
I19A	873913	NODE_35732_length_874930_cov_13.295180
I19A	686580	NODE_13355_length_687604_cov_13.305090
I19A	116407	NODE_1266_length_116320_cov_13.746424
I19A	97583	NODE_22623_length_97874_cov_13.489099
I19A	490016	NODE_35204_length_490511_cov_13.622392
I19A	431177	NODE_54112_length_431793_cov_13.399815
I19A	63804	NODE_48897_length_63704_cov_13.385502
I19A	165442	NODE_63482_length_165970_cov_13.076604
I19A	289469	NODE_1698_length_289438_cov_13.182457
I19A	285985	NODE_42632_length_286057_cov_14.227773
I19A	390278	NODE_63598_length_390228_cov_14.167264
I19A	231578	NODE_34114_length_231608_cov_13.445792
I19A	628948	NODE_23510_length_629979_cov_13.370566
I19A	182428	NODE_15145_length_182847_cov_13.493845
I19A	79524	NODE_3474_length_79416_cov_14.279150
I19A	57949	NODE_54671_length_58063_cov_11.658526
I19A	195454	NODE_34127_length_195797_cov_13.331660
I19A	93679	NODE_40313_length_93768_cov_13.939350
I19A	916634	NODE_47481_length_918431_cov_13.370299
I19A	264726	NODE_23251_length_264815_cov_13.820513
I19A	70200	NODE_35906_length_70253_cov_12.736766
I19A	327804	NODE_22376_length_328692_cov_13.260423
I19A	37777	NODE_37586_length_37726_cov_13.629142
I19A	255718	NODE_49130_length_255678_cov_13.280317
I19A	159029	NODE_56633_length_159391_cov_12.153321
I19A	84324	NODE_31191_length_84342_cov_13.556022
I19A	297969	NODE_8327_length_298906_cov_13.115498
I19A	22305	NODE_20427_length_22201_cov_14.045223
I19A	87703	NODE_9827_length_87666_cov_13.611811
I19A	99710	NODE_17652_length_100081_cov_12.801520
I19A	17890	NODE_10994_length_17841_cov_14.687573
I19A	51813	NODE_37390_length_51731_cov_14.686803
I19A	232534	NODE_73409_length_232793_cov_13.198966
I19A	304979	NODE_13713_length_304966_cov_13.626670
I19A	186783	NODE_23457_length_187248_cov_13.288708
I19A	199895	NODE_25279_length_199890_cov_14.154220
I19A	293165	NODE_13445_length_293531_cov_13.631786
I19A	41143	NODE_15347_length_41086_cov_13.418829
I19A	114952	NODE_20338_length_115243_cov_13.058146
I19A	316120	NODE_45488_length_317530_cov_12.699078
I19A	170854	NODE_48841_length_171211_cov_13.136394
I19A	82951	NODE_54866_length_82930_cov_13.397660
I19A	411400	NODE_12280_length_412101_cov_13.343605
I19A	87557	NODE_20232_length_87808_cov_13.343750
I19A	24311	NODE_7141_length_24207_cov_13.207749
I19A	119620	NODE_35673_length_119770_cov_12.266527
I19A	109809	NODE_9406_length_109823_cov_14.555120
I19A	31712	NODE_8059_length_31581_cov_13.661252
I19A	216287	NODE_26607_length_216757_cov_13.476404
I19A	24895	NODE_48568_length_24818_cov_13.667137
I19A	163543	NODE_40655_length_163735_cov_13.213699
I19A	448786	NODE_28082_length_449008_cov_13.476860
I19A	704526	NODE_32370_length_705421_cov_13.351329
I19A	130062	NODE_60906_length_130169_cov_13.456491
I19A	525704	NODE_13916_length_526797_cov_13.483147
I19A	560638	NODE_4741_length_561083_cov_12.819834
I19A	180837	NODE_21693_length_181023_cov_13.815449
I19A	138553	NODE_13917_length_138644_cov_13.444029
I19A	145200	NODE_36154_length_145125_cov_13.560007
I19A	114647	NODE_69689_length_115122_cov_13.690754
I19A	25795	NODE_40965_length_25795_cov_13.070750
I19A	123644	NODE_6114_length_124077_cov_13.469942
I19A	150570	NODE_43233_length_150751_cov_13.316283
I19A	144108	NODE_54990_length_144368_cov_13.391147
I19A	185713	NODE_8017_length_185911_cov_13.710620
I19A	88586	NODE_7667_length_88645_cov_13.465497
I19A	206136	NODE_26101_length_206712_cov_13.371188
I19A	126785	NODE_27656_length_126915_cov_13.520081
I19A	407557	NODE_65449_length_408303_cov_12.982934
I19A	119123	NODE_42040_length_119448_cov_12.828804
I19A	70033	NODE_21451_length_70210_cov_13.107563
I19A	190520	NODE_12307_length_191435_cov_12.909442
I19A	505482	NODE_19900_length_506772_cov_12.970890
I19A	100266	NODE_34935_length_100359_cov_13.271286
I19A	224548	NODE_35288_length_224698_cov_13.241096
I19A	6732	NODE_3187_length_6628_cov_8.583283
I19A	134205	NODE_42196_length_134276_cov_13.793872
I19A	420897	NODE_43681_length_421585_cov_13.566496
I19A	147419	NODE_15389_length_147339_cov_13.913092
I19A	322114	NODE_40863_length_322699_cov_13.696224
I19A	58275	NODE_48546_length_58324_cov_12.922039
I19A	89471	NODE_2445_length_89416_cov_14.983348
I19A	160366	NODE_43156_length_160456_cov_13.275003
I19A	176834	NODE_38472_length_177339_cov_12.708592
I19A	186705	NODE_42708_length_186786_cov_13.233315
I19A	33154	NODE_15331_length_33099_cov_12.848757
I19A	144397	NODE_42055_length_145096_cov_13.259545
I19A	478963	NODE_35171_length_479205_cov_13.132150
I19A	44808	NODE_12717_length_44791_cov_13.881248
I19A	408168	NODE_30205_length_408145_cov_13.762129
I19A	62629	NODE_49545_length_62647_cov_12.952783
I19A	148984	NODE_5720_length_148927_cov_12.616034
I19A	107251	NODE_16157_length_107422_cov_12.559504
I19A	606976	NODE_22150_length_607540_cov_13.472621
I19A	195861	NODE_3882_length_196282_cov_14.295580
I19A	196425	NODE_45838_length_196610_cov_13.267601
I19A	59329	NODE_73266_length_59474_cov_13.351649
I19A	132956	NODE_15365_length_133222_cov_13.687634
I19A	261754	NODE_24299_length_262035_cov_13.105654
I19A	151696	NODE_32012_length_152144_cov_13.135141
I19A	51520	NODE_29847_length_51589_cov_11.368489
I19A	22386	NODE_6970_length_22282_cov_15.099318
I19A	263542	NODE_50882_length_263919_cov_13.431004
I19A	182066	NODE_22836_length_182279_cov_13.166821
I19A	58276	NODE_899_length_58172_cov_13.809170
I19A	10445	NODE_27278_length_10334_cov_13.666344
I19A	156327	NODE_28242_length_156881_cov_12.084051
I19A	174139	NODE_41240_length_174276_cov_13.181018
I19A	186995	NODE_35155_length_187034_cov_13.494033
I19A	3896	NODE_1364_length_3792_cov_16.559072
I19A	12661	NODE_10608_length_12564_cov_15.164199
I19A	362646	NODE_55352_length_363047_cov_13.740212
I19A	110890	NODE_25690_length_110790_cov_13.650023
I19A	133196	NODE_53255_length_133390_cov_13.372952
I19A	287309	NODE_8716_length_287530_cov_13.609553
I19A	187339	NODE_41099_length_187528_cov_13.810993
I19A	30799	NODE_11172_length_30700_cov_14.519186
I19A	11721	NODE_15093_length_11555_cov_15.206750
I19A	137451	NODE_33719_length_137591_cov_13.109462
I19A	67289	NODE_25322_length_67362_cov_13.053041
I19A	36687	NODE_36514_length_36724_cov_9.116545
I19A	70442	NODE_48196_length_70986_cov_12.737554
I19A	131483	NODE_31907_length_131441_cov_13.132356
I19A	401274	NODE_27662_length_403137_cov_12.908614
I19A	254880	NODE_50065_length_255222_cov_13.547652
I19A	749360	NODE_58582_length_750312_cov_13.387949
I19A	183011	NODE_47873_length_183732_cov_12.460426
I19A	238740	NODE_15193_length_238795_cov_13.514291
I19A	180977	NODE_26912_length_180934_cov_13.438087
I19A	63208	NODE_13619_length_63163_cov_14.218561
I19A	92318	NODE_6496_length_92275_cov_13.456862
I19A	124284	NODE_7618_length_124072_cov_13.853311
I19A	40190	NODE_1662_length_40237_cov_8.534508
I19A	391764	NODE_26947_length_392001_cov_13.491688
I19A	115023	NODE_18215_length_114992_cov_14.025550
I19A	153885	NODE_41413_length_154222_cov_13.610996
I19A	112097	NODE_64785_length_112173_cov_13.519269
I65V	60214	NODE_14781_length_60372_cov_8.607682
I65V	151472	NODE_28145_length_151916_cov_8.874385
I65V	100669	NODE_26217_length_101221_cov_8.681904
I65V	381747	NODE_32949_length_383159_cov_8.852345
I65V	303873	NODE_63289_length_304764_cov_8.957344
I65V	316939	NODE_16183_length_317836_cov_8.811699
I65V	28486	NODE_10269_length_28473_cov_9.795631
I65V	29117	NODE_27491_length_29085_cov_8.929001
I65V	179735	NODE_27736_length_180181_cov_9.328825
I65V	288240	NODE_16164_length_289151_cov_8.845942
I65V	157401	NODE_39042_length_158119_cov_8.885422
I65V	3875	NODE_1557_length_3771_cov_9.886502
I65V	258442	NODE_38535_length_259209_cov_8.928938
I65V	29408	NODE_7734_length_29408_cov_9.329672
I65V	107567	NODE_41003_length_108229_cov_8.617414
I65V	192131	NODE_14866_length_192767_cov_8.799997
I65V	108395	NODE_24152_length_108873_cov_8.855768
I65V	56888	NODE_20797_length_56964_cov_9.131241
I65V	147222	NODE_35525_length_148099_cov_8.837440
I65V	84412	NODE_22555_length_84584_cov_9.076646
I65V	59521	NODE_45015_length_59830_cov_9.043724
I65V	31432	NODE_28761_length_31329_cov_9.779853
I65V	24097	NODE_8863_length_23970_cov_9.158072
I65V	29187	NODE_14343_length_29358_cov_8.497581
I65V	283204	NODE_52575_length_284529_cov_8.774037
I65V	192158	NODE_26560_length_192869_cov_9.111656
I65V	52573	NODE_8231_length_52647_cov_8.572037
I65V	223531	NODE_18704_length_224390_cov_8.931013
I65V	87624	NODE_16423_length_88058_cov_8.763701
I65V	17776	NODE_26613_length_17715_cov_8.442055
I65V	156674	NODE_42332_length_157161_cov_8.633567
I65V	37906	NODE_8760_length_37804_cov_9.714290
I65V	28416	NODE_43871_length_28284_cov_8.437633
I65V	78800	NODE_28198_length_79014_cov_8.685233
I65V	158206	NODE_52444_length_158741_cov_8.875439
I65V	146566	NODE_17673_length_146928_cov_8.706162
I65V	94271	NODE_33593_length_94467_cov_8.678322
I65V	362613	NODE_9906_length_363535_cov_8.980340
I65V	99052	NODE_53904_length_99682_cov_8.670814
I65V	65406	NODE_32438_length_65575_cov_9.059169
I65V	125498	NODE_25309_length_125888_cov_8.652040
I65V	136985	NODE_38279_length_137659_cov_8.604261
I65V	61692	NODE_13021_length_62016_cov_8.422181
I65V	157116	NODE_27173_length_157400_cov_8.796614
I65V	73034	NODE_14858_length_73431_cov_9.116423
I65V	175728	NODE_18289_length_176171_cov_8.753643
I65V	41917	NODE_19506_length_41832_cov_8.234486
I65V	115822	NODE_32460_length_116031_cov_8.882445
I65V	142284	NODE_49519_length_142606_cov_9.232445
I65V	48128	NODE_38021_length_48094_cov_9.332245
I65V	204013	NODE_59140_length_204992_cov_8.698227
I65V	93753	NODE_69728_length_94056_cov_8.820766
I65V	121582	NODE_21596_length_121670_cov_9.006197
I65V	59534	NODE_17975_length_59452_cov_9.255332
I65V	128328	NODE_19434_length_128654_cov_9.110716
I65V	171328	NODE_39224_length_172329_cov_8.608824
I65V	237783	NODE_51959_length_238370_cov_9.286194
I65V	101608	NODE_35361_length_101975_cov_8.923805
I65V	77816	NODE_34929_length_78071_cov_8.744054
I65V	84934	NODE_38309_length_85090_cov_9.147761
I65V	256519	NODE_13538_length_257224_cov_8.873480
I65V	89415	NODE_64754_length_89616_cov_9.409760
I65V	68065	NODE_28635_length_68078_cov_8.702533
I65V	44730	NODE_26664_length_44599_cov_9.271732
I65V	56442	NODE_16480_length_56407_cov_8.724573
I65V	115737	NODE_54058_length_116157_cov_8.999707
I65V	83623	NODE_53614_length_83806_cov_8.929551
I65V	98769	NODE_232_length_99154_cov_9.122446
I65V	116267	NODE_28647_length_116614_cov_8.625302
I65V	8392	NODE_1536_length_8349_cov_7.937478
I65V	127898	NODE_25433_length_128248_cov_8.802858
I65V	22634	NODE_15555_length_22651_cov_8.372213
I65V	126593	NODE_38219_length_126829_cov_9.045731
I65V	181173	NODE_5629_length_181543_cov_9.123656
I65V	13044	NODE_21431_length_12940_cov_8.669088
I65V	31062	NODE_56360_length_31057_cov_8.812796
I65V	52587	NODE_37375_length_52633_cov_9.506432
I65V	399870	NODE_4801_length_400822_cov_9.101232
I65V	101504	NODE_37759_length_101596_cov_8.886551
I65V	93021	NODE_8311_length_93215_cov_8.669989
I65V	414137	NODE_23772_length_415880_cov_8.837518
I65V	148890	NODE_13263_length_149075_cov_8.787477
I65V	24314	NODE_33670_length_24288_cov_8.408803
I65V	78651	NODE_10008_length_78746_cov_10.000419
I65V	241990	NODE_15589_length_243109_cov_8.857146
I65V	88505	NODE_27001_length_88494_cov_9.258085
I65V	53854	NODE_37464_length_54025_cov_8.838982
I65V	185068	NODE_21403_length_185575_cov_8.910419
I65V	18594	NODE_137_length_18490_cov_9.327582
I65V	106364	NODE_15616_length_106767_cov_8.858140
I65V	40248	NODE_53534_length_40255_cov_8.854950
I65V	1437	NODE_8682_length_1333_cov_5.379595
I65V	31081	NODE_45680_length_31288_cov_8.073606
I65V	165609	NODE_64927_length_166143_cov_8.795050
I65V	103104	NODE_25808_length_103261_cov_9.108967
I65V	109017	NODE_26982_length_109785_cov_8.752316
I65V	31279	NODE_50151_length_31131_cov_9.472519
I65V	162378	NODE_54003_length_162879_cov_8.981232
I65V	86863	NODE_12183_length_87475_cov_8.894861
I65V	190884	NODE_12946_length_191391_cov_8.938706
I65V	112950	NODE_26861_length_113091_cov_9.305117
I65V	45496	NODE_48328_length_45554_cov_8.510362
I65V	111612	NODE_59027_length_111770_cov_8.884334
I65V	109882	NODE_24780_length_110428_cov_8.845030
I65V	75068	NODE_15282_length_75176_cov_8.964257
I65V	25728	NODE_46686_length_25738_cov_7.680822
I65V	60448	NODE_15726_length_60690_cov_9.072170
I65V	103497	NODE_45079_length_103674_cov_9.066902
I65V	448262	NODE_44251_length_449507_cov_8.775984
I65V	143794	NODE_14580_length_144198_cov_8.921282
I65V	203578	NODE_57195_length_204142_cov_8.771600
I65V	53292	NODE_8588_length_53201_cov_9.210842
I65V	212684	NODE_53469_length_213454_cov_9.091978
I65V	256759	NODE_58158_length_257472_cov_8.997557
I65V	185618	NODE_12185_length_186600_cov_8.822980
I65V	20651	NODE_24522_length_20642_cov_9.754772
I65V	28219	NODE_46231_length_28215_cov_8.769875
I65V	24764	NODE_24330_length_24762_cov_8.282328
I65V	58387	NODE_36994_length_58353_cov_8.980052
I65V	4280	NODE_1226_length_4176_cov_9.578784
I65V	116884	NODE_46474_length_117276_cov_9.005295
I65V	105351	NODE_70177_length_106200_cov_8.290179
I65V	96587	NODE_20826_length_96824_cov_9.130319
I65V	40500	NODE_15309_length_40461_cov_8.722425
I65V	34924	NODE_7087_length_34948_cov_9.615887
I65V	90008	NODE_28372_length_90119_cov_8.369145
I65V	57293	NODE_13512_length_57582_cov_8.938713
I65V	72450	NODE_8636_length_72728_cov_8.903930
I65V	26646	NODE_1357_length_26772_cov_8.903668
I65V	93517	NODE_53313_length_93868_cov_9.079612
I65V	37188	NODE_9895_length_37280_cov_9.333557
I65V	87206	NODE_11922_length_87366_cov_9.112744
I65V	54476	NODE_28558_length_54564_cov_9.339125
I65V	110201	NODE_53322_length_110695_cov_9.144090
I65V	58228	NODE_53433_length_58349_cov_9.239439
I65V	114400	NODE_1715_length_114670_cov_8.429869
I65V	21841	NODE_5092_length_21858_cov_9.774499
I65V	54871	NODE_22975_length_55001_cov_9.055908
I65V	164997	NODE_64756_length_165610_cov_9.034496
I65V	155916	NODE_26913_length_156085_cov_9.014678
I65V	178943	NODE_13099_length_179339_cov_8.897385
I65V	191044	NODE_36558_length_191867_cov_8.683260
I65V	165896	NODE_18400_length_166118_cov_8.814361
I65V	82395	NODE_10346_length_82800_cov_8.876993
I65V	136491	NODE_26827_length_136655_cov_8.834569
I65V	336338	NODE_36919_length_337138_cov_9.006107
I65V	59263	NODE_22649_length_59385_cov_8.851798
I65V	138681	NODE_18169_length_138881_cov_9.169728
I65V	9327	NODE_4270_length_9223_cov_9.260111
I65V	394047	NODE_59160_length_395222_cov_8.936304
I65V	20851	NODE_13137_length_20806_cov_9.417235
I65V	64045	NODE_27861_length_63923_cov_9.331978
I65V	70089	NODE_10105_length_70221_cov_8.615770
I65V	199951	NODE_34993_length_200259_cov_9.143848
I65V	106115	NODE_23012_length_106359_cov_9.066576
I65V	303217	NODE_53575_length_303726_cov_9.630473
I65V	44742	NODE_24852_length_44621_cov_8.994487
I65V	137784	NODE_24462_length_138029_cov_8.918336
I65V	48842	NODE_37992_length_48842_cov_9.168278
I65V	211790	NODE_28585_length_212888_cov_8.860682
I65V	72215	NODE_30881_length_72297_cov_8.962529
I65V	305118	NODE_38604_length_305968_cov_8.845958
I65V	215895	NODE_7751_length_216377_cov_8.862619
I65V	171333	NODE_32395_length_172622_cov_8.570767
I65V	115128	NODE_47216_length_115586_cov_9.474565
I65V	82180	NODE_38095_length_82515_cov_8.908889
I65V	150663	NODE_17444_length_151013_cov_8.920589
I65V	293359	NODE_37015_length_294065_cov_9.061000
I65V	46156	NODE_4000_length_46029_cov_9.315671
I65V	23260	NODE_15418_length_23199_cov_8.898272
I65V	93868	NODE_13355_length_93990_cov_9.385605
I65V	126560	NODE_64877_length_126959_cov_8.565726
I65V	73145	NODE_13766_length_73365_cov_8.792176
I65V	56016	NODE_29898_length_56101_cov_9.365128
I65V	149660	NODE_34189_length_149893_cov_8.991795
I65V	79823	NODE_4208_length_79935_cov_9.402752
I65V	38850	NODE_26888_length_38788_cov_9.815381
I65V	94491	NODE_41922_length_94941_cov_8.916316
I65V	298652	NODE_28760_length_300022_cov_8.829346
I65V	83600	NODE_8969_length_83831_cov_8.684556
I65V	83220	NODE_38397_length_83454_cov_8.733422
I65V	207884	NODE_25501_length_208621_cov_8.726500
I65V	40480	NODE_14966_length_40699_cov_8.555394
I65V	26168	NODE_11269_length_26152_cov_8.682663
I65V	25468	NODE_28122_length_25411_cov_8.860375
I65V	124320	NODE_16151_length_124507_cov_9.242291
I65V	115939	NODE_33945_length_116280_cov_8.854231
I65V	239814	NODE_26668_length_240579_cov_8.881482
I65V	84836	NODE_39324_length_84942_cov_8.975960
I65V	116518	NODE_15944_length_116695_cov_8.697528
I65V	101235	NODE_37100_length_101200_cov_8.883557
I65V	54934	NODE_44302_length_55028_cov_9.263430
I65V	33192	NODE_21321_length_33263_cov_8.867931
I65V	46805	NODE_37334_length_46830_cov_8.197096
I65V	151161	NODE_46824_length_151382_cov_8.943006
I65V	111747	NODE_31071_length_112106_cov_8.718758
I65V	102219	NODE_29823_length_102799_cov_8.614150
I65V	63126	NODE_16372_length_63171_cov_8.833025
I65V	67871	NODE_57471_length_68030_cov_8.774291
I65V	245421	NODE_59285_length_246290_cov_8.637456
I65V	27984	NODE_7132_length_28024_cov_8.708963
I65V	120752	NODE_64020_length_121277_cov_8.761365
I65V	68202	NODE_62990_length_68150_cov_8.665092
I65V	44343	NODE_46505_length_44343_cov_8.319983
I65V	30470	NODE_34496_length_30480_cov_8.657284
I65V	336614	NODE_43161_length_337646_cov_9.388300
I65V	51077	NODE_16243_length_50967_cov_9.467950
I65V	173274	NODE_45951_length_173735_cov_8.953676
I65V	251343	NODE_36170_length_251555_cov_9.106768
I65V	125601	NODE_36868_length_126289_cov_8.786743
I65V	88319	NODE_8858_length_88539_cov_8.825263
I65V	72336	NODE_25980_length_72821_cov_8.725148
I65V	107908	NODE_26059_length_108253_cov_8.780135
